"id","name","vendor","category","releaseTrigger","verifiesDeath","providerCanReadUserData","passwordsIncluded","delay","price","verificationStatus","sources","notes"
"apple-legacy-contact","Legacy Contact (Digital Legacy)","Apple","platform_legacy_feature","death_certificate_human_review","yes","yes","no","unknown","free","verified","https://support.apple.com/en-us/102631","The strongest of the big-platform options and it excludes the one category families need. Apple's own words: ""Inaccessible data includes movies, music, books, or subscriptions you purchased with your Apple Account, and data stored in your iCloud Keychain (payment information, passwords, and passkeys)."" To file an access request the contact needs both the access key generated at setup and a death certificate. Apple's page also states that in the U.S. and other locales access can be requested with a court order naming the requester as rightful inheritor."
"google-inactive-account-manager","Inactive Account Manager","Google","platform_legacy_feature","inactivity_timer","no","yes","unknown","user-selected inactivity period; documented range approximately 3 to 18 months","free","partial","https://support.google.com/accounts/answer/3036546","A silence timer with no death check of any kind. Up to 10 trusted contacts are notified when the period elapses. The 3-to-18-month range is corroborated across independent secondary sources but we could not confirm the exact endpoints with a verbatim quote from Google's own page; the part that matters — that the trigger is inactivity and nothing else — is confirmed. Google separately operates a discretionary request process for deceased users' accounts that does not promise access."
"meta-legacy-contact","Legacy Contact","Meta (Facebook)","platform_legacy_feature","none","partial","yes","no","not applicable","free","verified","https://www.facebook.com/help/1568013990080948","A grief feature, not an inheritance feature. A legacy contact can manage a memorialised profile, write a pinned post, update the profile picture, respond to friend requests, and request removal of the account. They cannot log in as the deceased or read private messages — which is the correct privacy decision and also means nothing transfers. Correction to our own earlier draft: we had written that a legacy contact cannot delete the account; Meta's live help page lists requesting removal as something they can do. We were wrong."
"microsoft-account","Deceased-user account access","Microsoft","platform_legacy_feature","legal_process_only","yes","yes","unknown","unknown","free","partial","https://support.microsoft.com/en-us/account-billing/accessing-the-outlook-com-onedrive-and-other-microsoft-services-when-the-account-owner-has-died-ebbd2860-917e-4b39-9913-212362da6b2f","The most restrictive major platform: a subpoena or court order is generally required and success is not guaranteed. Two narrow documentation-only exceptions exist for Germany and China. There is no self-service legacy-contact feature; older 'Next of Kin' references date from the Hotmail era and do not appear in current documentation. Plan around Microsoft, not through it."
"bitwarden-emergency-access","Emergency Access","Bitwarden","password_manager","contact_initiated_silence_timer","no","no","yes","grantor-set, documented minimum 1 day","emergency access requires a paid grantor plan; the recipient may use a free account","verified","https://bitwarden.com/help/emergency-access/","Bitwarden's documentation is admirably clear: ""Anyone with a free or premium Bitwarden account on the same Bitwarden server can be designated as a trusted emergency contact."" This retracts a claim in our own earlier marketing that the survivor must already be a paying subscriber — that was false. The real criticism is narrower and worse: the mechanism is a silence timer that cannot distinguish a funeral from an intensive-care stay."
"lastpass-emergency-access","Emergency Access","LastPass","password_manager","contact_initiated_silence_timer","no","no","yes","grantor-set","recipient does not need Premium","partial","https://support.lastpass.com/s/document-item?language=en_US&bundleId=lastpass&topicId=LastPass/c_emergency_access.html","Same silence-timer design as every other vendor examined. No death verification."
"proton-pass-emergency-access","Emergency Access","Proton","password_manager","contact_initiated_silence_timer","no","no","yes","grantor-set","recipient may use a free Proton account","partial","https://proton.me/support/pass-emergency-access","Shipped approximately August 2025. Silence timer, no death verification."
"nordpass-emergency-access","Emergency Access","NordPass","password_manager","contact_initiated_silence_timer","no","no","yes","grantor-set","free users can be recipients","partial","https://nordpass.com/features/emergency-access/","NordPass's support article blocks automated fetching. The ""free users can be recipients"" line comes from NordPass's own blog and support-page snippets rather than a full page we retrieved ourselves."
"keeper-emergency-access","Emergency Access","Keeper Security","password_manager","contact_initiated_silence_timer","no","no","yes","grantor-set","unknown","partial","https://docs.keeper.io/en/user-guides/emergency-access","Whether the recipient needs a paid plan could not be resolved from primary documentation and we are not going to guess. The silence-timer design is confirmed."
"1password","Emergency Kit (no emergency-access feature)","1Password","password_manager","none","no","no","not applicable","not applicable","not applicable","verified","https://support.1password.com/emergency-kit/","The market leader by reputation has no mechanism for this at all. Its Emergency Kit is a self-recovery PDF and 1Password's own guidance is: ""It's important that you don't share your Emergency Kit with anyone."" The intended workaround is to print it and put it in a safe — a piece of paper, not a feature. 1Password Families 'account recovery' does not fill the gap: it resets the password of a living member who then completes the reset themselves, and a dead person cannot complete that step."
